date,ticket type,ticket class,sales
2017-08-19,return,first,11
2017-08-20,return,first,15
2017-08-21,return,first,20
2017-08-22,return,first,20
2017-08-23,return,first,19
2017-08-24,return,first,19
2017-08-25,return,first,23
2017-08-26,return,first,11
2017-08-27,return,first,16
2017-08-28,return,first,20
2017-08-29,return,first,14
2017-08-30,return,first,20
2017-08-31,return,first,25
2017-09-01,return,first,25
2017-09-02,return,first,10
2017-09-03,return,first,16
2017-09-04,return,first,10
2017-09-05,return,first,16
2017-09-06,return,first,20
2017-09-07,return,first,20
2017-09-08,return,first,19
2017-09-09,return,first,15
2017-09-10,return,first,17
2017-09-11,return,first,26
2017-09-12,return,first,14
2017-09-13,return,first,16
2017-09-14,return,first,27
2017-09-15,return,first,14
2017-09-16,return,first,16
2017-09-17,return,first,20
2017-09-18,return,first,18
2017-09-19,return,first,16
2017-09-20,return,first,11
2017-09-21,return,first,13
2017-09-22,return,first,16
2017-09-23,return,first,18
2017-09-24,return,first,14
2017-09-25,return,first,17
2017-09-26,return,first,20
2017-09-27,return,first,22
2017-09-28,return,first,13
2017-09-29,return,first,20
2017-09-30,return,first,20
2017-10-01,return,first,12
2017-10-02,return,first,11
2017-10-03,return,first,14
2017-10-04,return,first,14
2017-10-05,return,first,14
2017-10-06,return,first,20
2017-10-07,return,first,13
2017-10-08,return,first,13
2017-10-09,return,first,14
2017-10-10,return,first,20
2017-10-11,return,first,17
2017-10-12,return,first,17
2017-10-13,return,first,20
2017-10-14,return,first,15
2017-10-15,return,first,15
2017-10-16,return,first,15
2017-10-17,return,first,10
2017-10-18,return,first,10
2017-10-19,return,first,18
2017-10-20,return,first,25
2017-10-21,return,first,13
2017-10-22,return,first,11
2017-10-23,return,first,16
2017-10-24,return,first,17
2017-10-25,return,first,18
2017-10-26,return,first,19
2017-10-27,return,first,14
2017-10-28,return,first,11
2017-10-29,return,first,17
2017-10-30,return,first,20
2017-10-31,return,first,21
2017-11-01,return,first,20
2017-11-02,return,first,24
2017-11-03,return,first,19
2017-11-04,return,first,12
2017-11-05,return,first,20
2017-11-06,return,first,16
2017-11-07,return,first,17
2017-11-08,return,first,22
2017-11-09,return,first,18
2017-11-10,return,first,23
2017-11-11,return,first,16
2017-11-12,return,first,20
2017-11-13,return,first,20
2017-11-14,return,first,9
2017-11-15,return,first,18
2017-11-16,return,first,13
2017-11-17,return,first,17
2017-11-18,return,first,17
2017-11-19,return,first,18
2017-11-20,return,first,17
2017-11-21,return,first,16
2017-11-22,return,first,17
2017-11-23,return,first,31
2017-11-24,return,first,20
2017-11-25,return,first,16
2017-11-26,return,first,25
2017-11-27,return,first,25
2017-11-28,return,first,17
2017-11-29,return,first,19
2017-11-30,return,first,30
2017-12-01,return,first,16
2017-12-02,return,first,8
2017-12-03,return,first,21
2017-12-04,return,first,6
2017-12-05,return,first,13
2017-12-06,return,first,15
2017-12-07,return,first,17
2017-12-08,return,first,17
2017-12-09,return,first,8
2017-12-10,return,first,14
2017-12-11,return,first,7
2017-12-12,return,first,5
2017-12-13,return,first,13
2017-12-14,return,first,16
2017-12-15,return,first,15
2017-12-16,return,first,15
2017-12-17,return,first,8
2017-12-18,return,first,18
2017-12-19,return,first,7
2017-12-20,return,first,13
2017-12-21,return,first,11
2017-12-22,return,first,9
2017-12-23,return,first,8
2017-12-24,return,first,17
2017-12-25,return,first,6
2017-12-26,return,first,16
2017-12-27,return,first,18
2017-12-28,return,first,17
2017-12-29,return,first,14
2017-12-30,return,first,5
2017-12-31,return,first,15
2018-01-01,return,first,9
2018-01-02,return,first,14
2018-01-03,return,first,11
2018-01-04,return,first,20
2018-01-05,return,first,17
2018-01-06,return,first,14
2018-01-07,return,first,11
2018-01-08,return,first,12
2018-01-09,return,first,17
2018-01-10,return,first,12
2018-01-11,return,first,17
2018-01-12,return,first,12
2018-01-13,return,first,12
2018-01-14,return,first,17
2018-01-15,return,first,17
2018-01-16,return,first,15
2018-01-17,return,first,18
2018-01-18,return,first,15
2018-01-19,return,first,12
2018-01-20,return,first,6
2018-01-21,return,first,7
2018-01-22,return,first,21
2018-01-23,return,first,18
2018-01-24,return,first,18
2018-01-25,return,first,21
2018-01-26,return,first,16
2018-01-27,return,first,8
2018-01-28,return,first,6
2018-01-29,return,first,13
2018-01-30,return,first,11
2018-01-31,return,first,18
2018-02-01,return,first,13
2018-02-02,return,first,16
2018-02-03,return,first,10
2018-02-04,return,first,9
2018-02-05,return,first,21
2018-02-06,return,first,17
2018-02-07,return,first,15
2018-02-08,return,first,15
2018-02-09,return,first,18
2018-02-10,return,first,10
2018-02-11,return,first,10
2018-02-12,return,first,9
2018-02-13,return,first,22
2018-02-14,return,first,20
2018-02-15,return,first,20
2018-02-16,return,first,13
2018-02-17,return,first,11
2018-02-18,return,first,11
2018-02-19,return,first,16
2018-02-20,return,first,19
2018-02-21,return,first,16
2018-02-22,return,first,17
2018-02-23,return,first,13
2018-02-24,return,first,7
2018-02-25,return,first,14
2018-02-26,return,first,17
2018-02-27,return,first,10
2018-02-28,return,first,16
2018-03-01,return,first,20
2018-03-02,return,first,15
2018-03-03,return,first,12
2018-03-04,return,first,11
2018-03-05,return,first,18
2018-03-06,return,first,19
2018-03-07,return,first,21
2018-03-08,return,first,14
2018-03-09,return,first,21
2018-03-10,return,first,13
2018-03-11,return,first,14
2018-03-12,return,first,24
2018-03-13,return,first,17
2018-03-14,return,first,16
2018-03-15,return,first,22
2018-03-16,return,first,31
2018-03-17,return,first,19
2018-03-18,return,first,17
2018-03-19,return,first,24
2018-03-20,return,first,21
2018-03-21,return,first,18
2018-03-22,return,first,20
2018-03-23,return,first,25
2018-03-24,return,first,4
2018-03-25,return,first,15
2018-03-26,return,first,17
2018-03-27,return,first,17
2018-03-28,return,first,16
2018-03-29,return,first,18
2018-03-30,return,first,15
2018-03-31,return,first,15
2018-04-01,return,first,19
2018-04-02,return,first,11
2018-04-03,return,first,16
2018-04-04,return,first,17
2018-04-05,return,first,21
2018-04-06,return,first,26
2018-04-07,return,first,19
2018-04-08,return,first,19
2018-04-09,return,first,20
2018-04-10,return,first,18
2018-04-11,return,first,23
2018-04-12,return,first,19
2018-04-13,return,first,22
2018-04-14,return,first,20
2018-04-15,return,first,22
2018-04-16,return,first,20
2018-04-17,return,first,18
2018-04-18,return,first,20
2018-04-19,return,first,22
2018-04-20,return,first,22
2018-04-21,return,first,17
2018-04-22,return,first,12
2018-04-23,return,first,16
2018-04-24,return,first,25
2018-04-25,return,first,22
2018-04-26,return,first,21
2018-04-27,return,first,20
2018-04-28,return,first,15
2018-04-29,return,first,18
2018-04-30,return,first,13
2018-05-01,return,first,22
2018-05-02,return,first,19
2018-05-03,return,first,22
2018-05-04,return,first,23
2018-05-05,return,first,21
2018-05-06,return,first,19
2018-05-07,return,first,21
2018-05-08,return,first,15
2018-05-09,return,first,18
2018-05-10,return,first,16
2018-05-11,return,first,27
2018-05-12,return,first,16
2018-05-13,return,first,22
2018-05-14,return,first,21
2018-05-15,return,first,22
2018-05-16,return,first,23
2018-05-17,return,first,18
2018-05-18,return,first,36
2018-05-19,return,first,12
2018-05-20,return,first,23
2018-05-21,return,first,16
2018-05-22,return,first,25
2018-05-23,return,first,28
2018-05-24,return,first,25
2018-05-25,return,first,20
2018-05-26,return,first,15
2018-05-27,return,first,13
2018-05-28,return,first,13
2018-05-29,return,first,20
2018-05-30,return,first,29
2018-05-31,return,first,31
2018-06-01,return,first,24
2018-06-02,return,first,16
2018-06-03,return,first,23
2018-06-04,return,first,20
2018-06-05,return,first,24
2018-06-06,return,first,23
2018-06-07,return,first,27
2018-06-08,return,first,29
2018-06-09,return,first,18
2018-06-10,return,first,14
2018-06-11,return,first,22
2018-06-12,return,first,22
2018-06-13,return,first,25
2018-06-14,return,first,29
2018-06-15,return,first,33
2018-06-16,return,first,25
2018-06-17,return,first,32
2018-06-18,return,first,20
2018-06-19,return,first,22
2018-06-20,return,first,19
2018-06-21,return,first,26
2018-06-22,return,first,37
2018-06-23,return,first,19
2018-06-24,return,first,24
2018-06-25,return,first,21
2018-06-26,return,first,18
2018-06-27,return,first,29
2018-06-28,return,first,34
2018-06-29,return,first,19
2018-06-30,return,first,16
2018-07-01,return,first,16
2018-07-02,return,first,24
2018-07-03,return,first,25
2018-07-04,return,first,28
2018-07-05,return,first,25
2018-07-06,return,first,34
2018-07-07,return,first,16
2018-07-08,return,first,25
2018-07-09,return,first,27
2018-07-10,return,first,23
2018-07-11,return,first,25
2018-07-12,return,first,22
2018-07-13,return,first,24
2018-07-14,return,first,21
2018-07-15,return,first,24
2018-07-16,return,first,17
2018-07-17,return,first,26
2018-07-18,return,first,25
2018-07-19,return,first,31
2018-07-20,return,first,26
2018-07-21,return,first,21
2018-07-22,return,first,30
2018-07-23,return,first,19
2018-07-24,return,first,26
2018-07-25,return,first,24
2018-07-26,return,first,29
2018-07-27,return,first,35
2018-07-28,return,first,11
2018-07-29,return,first,19
2018-07-30,return,first,25
2018-07-31,return,first,23
2018-08-01,return,first,12
2018-08-02,return,first,23
2018-08-03,return,first,27
2018-08-04,return,first,20
2018-08-05,return,first,19
2018-08-06,return,first,25
2018-08-07,return,first,21
2018-08-08,return,first,27
2018-08-09,return,first,27
2018-08-10,return,first,22
2018-08-11,return,first,22
2018-08-12,return,first,20
2018-08-13,return,first,11
2018-08-14,return,first,17
2018-08-15,return,first,21
2018-08-16,return,first,20
2018-08-17,return,first,31
2018-08-18,return,first,25
2018-08-19,return,first,15
2018-08-20,return,first,21
2018-08-21,return,first,20
2018-08-22,return,first,21
2018-08-23,return,first,26
2018-08-24,return,first,26
2018-08-25,return,first,12
2018-08-26,return,first,25
2018-08-27,return,first,21
2018-08-28,return,first,19
2018-08-29,return,first,17
2018-08-30,return,first,30
2018-08-31,return,first,28
2018-09-01,return,first,16
2018-09-02,return,first,15
2018-09-03,return,first,22
2018-09-04,return,first,26
2018-09-05,return,first,27
2018-09-06,return,first,21
2018-09-07,return,first,25
2018-09-08,return,first,12
2018-09-09,return,first,22
2018-09-10,return,first,16
2018-09-11,return,first,15
2018-09-12,return,first,25
2018-09-13,return,first,17
2018-09-14,return,first,26
2018-09-15,return,first,12
2018-09-16,return,first,15
2018-09-17,return,first,17
2018-09-18,return,first,18
2018-09-19,return,first,21
2018-09-20,return,first,21
2018-09-21,return,first,20
2018-09-22,return,first,15
2018-09-23,return,first,20
2018-09-24,return,first,14
2018-09-25,return,first,17
2018-09-26,return,first,23
2018-09-27,return,first,13
2018-09-28,return,first,22
2018-09-29,return,first,18
2018-09-30,return,first,15
2018-10-01,return,first,12
2018-10-02,return,first,15
2018-10-03,return,first,24
2018-10-04,return,first,27
2018-10-05,return,first,33
2018-10-06,return,first,9
2018-10-07,return,first,10
2018-10-08,return,first,25
2018-10-09,return,first,18
2018-10-10,return,first,19
2018-10-11,return,first,28
2018-10-12,return,first,29
2018-10-13,return,first,6
2018-10-14,return,first,20
2018-10-15,return,first,21
2018-10-16,return,first,17
2018-10-17,return,first,18
2018-10-18,return,first,22
2018-10-19,return,first,13
2018-10-20,return,first,8
2018-10-21,return,first,19
2018-10-22,return,first,14
2018-10-23,return,first,18
2018-10-24,return,first,17
2018-10-25,return,first,21
2018-10-26,return,first,22
2018-10-27,return,first,15
2018-10-28,return,first,12
2018-10-29,return,first,11
2018-10-30,return,first,12
2018-10-31,return,first,20
2018-11-01,return,first,17
2018-11-02,return,first,33
2018-11-03,return,first,16
2018-11-04,return,first,16
2018-11-05,return,first,15
2018-11-06,return,first,22
2018-11-07,return,first,22
2018-11-08,return,first,12
2018-11-09,return,first,28
2018-11-10,return,first,16
2018-11-11,return,first,12
2018-11-12,return,first,18
2018-11-13,return,first,18
2018-11-14,return,first,25
2018-11-15,return,first,24
2018-11-16,return,first,18
2018-11-17,return,first,17
2018-11-18,return,first,18
2018-11-19,return,first,19
2018-11-20,return,first,17
2018-11-21,return,first,28
2018-11-22,return,first,20
2018-11-23,return,first,29
2018-11-24,return,first,18
2018-11-25,return,first,19
2018-11-26,return,first,23
2018-11-27,return,first,23
2018-11-28,return,first,24
2018-11-29,return,first,28
2018-11-30,return,first,24
2018-12-01,return,first,10
2018-12-02,return,first,17
2018-12-03,return,first,9
2018-12-04,return,first,10
2018-12-05,return,first,14
2018-12-06,return,first,16
2018-12-07,return,first,11
2018-12-08,return,first,13
2018-12-09,return,first,13
2018-12-10,return,first,14
2018-12-11,return,first,12
2018-12-12,return,first,10
2018-12-13,return,first,16
2018-12-14,return,first,13
2018-12-15,return,first,14
2018-12-16,return,first,11
2018-12-17,return,first,15
2018-12-18,return,first,10
2018-12-19,return,first,11
2018-12-20,return,first,19
2018-12-21,return,first,18
2018-12-22,return,first,8
2018-12-23,return,first,13
2018-12-24,return,first,16
2018-12-25,return,first,20
2018-12-26,return,first,12
2018-12-27,return,first,15
2018-12-28,return,first,17
2018-12-29,return,first,9
2018-12-30,return,first,11
2018-12-31,return,first,12
2019-01-01,return,first,11
2019-01-02,return,first,19
2019-01-03,return,first,16
2019-01-04,return,first,14
2019-01-05,return,first,14
2019-01-06,return,first,9
2019-01-07,return,first,13
2019-01-08,return,first,18
2019-01-09,return,first,18
2019-01-10,return,first,17
2019-01-11,return,first,19
2019-01-12,return,first,9
2019-01-13,return,first,9
2019-01-14,return,first,15
2019-01-15,return,first,10
2019-01-16,return,first,15
2019-01-17,return,first,16
2019-01-18,return,first,15
2019-01-19,return,first,12
2019-01-20,return,first,12
2019-01-21,return,first,10
2019-01-22,return,first,8
2019-01-23,return,first,14
2019-01-24,return,first,20
2019-01-25,return,first,19
2019-01-26,return,first,12
2019-01-27,return,first,13
2019-01-28,return,first,13
2019-01-29,return,first,7
2019-01-30,return,first,12
2019-01-31,return,first,19
2019-02-01,return,first,17
2019-02-02,return,first,6
2019-02-03,return,first,10
2019-02-04,return,first,8
2019-02-05,return,first,18
2019-02-06,return,first,13
2019-02-07,return,first,13
2019-02-08,return,first,18
2019-02-09,return,first,12
2019-02-10,return,first,15
2019-02-11,return,first,19
2019-02-12,return,first,15
2019-02-13,return,first,13
2019-02-14,return,first,11
2019-02-15,return,first,18
2019-02-16,return,first,14
2019-02-17,return,first,16
2019-02-18,return,first,16
2019-02-19,return,first,11
2019-02-20,return,first,10
2019-02-21,return,first,19
2019-02-22,return,first,24
2019-02-23,return,first,9
2019-02-24,return,first,8
2019-02-25,return,first,13
2019-02-26,return,first,18
2019-02-27,return,first,17
2019-02-28,return,first,18
2019-03-01,return,first,18
2019-03-02,return,first,17
2019-03-03,return,first,14
2019-03-04,return,first,19
2019-03-05,return,first,10
2019-03-06,return,first,17
2019-03-07,return,first,16
2019-03-08,return,first,13
2019-03-09,return,first,13
2019-03-10,return,first,23
2019-03-11,return,first,21
2019-03-12,return,first,24
2019-03-13,return,first,25
2019-03-14,return,first,15
2019-03-15,return,first,20
2019-03-16,return,first,13
2019-03-17,return,first,15
2019-03-18,return,first,16
2019-03-19,return,first,17
2019-03-20,return,first,31
2019-03-21,return,first,25
2019-03-22,return,first,23
2019-03-23,return,first,16
2019-03-24,return,first,18
2019-03-25,return,first,13
2019-03-26,return,first,10
2019-03-27,return,first,16
2019-03-28,return,first,12
2019-03-29,return,first,25
2019-03-30,return,first,19
2019-03-31,return,first,18
2019-04-01,return,first,24
2019-04-02,return,first,20
2019-04-03,return,first,27
2019-04-04,return,first,26
2019-04-05,return,first,20
2019-04-06,return,first,20
2019-04-07,return,first,19
2019-04-08,return,first,17
2019-04-09,return,first,20
2019-04-10,return,first,24
2019-04-11,return,first,17
2019-04-12,return,first,21
2019-04-13,return,first,14
2019-04-14,return,first,26
2019-04-15,return,first,26
2019-04-16,return,first,20
2019-04-17,return,first,22
2019-04-18,return,first,23
2019-04-19,return,first,24
2019-04-20,return,first,17
2019-04-21,return,first,25
2019-04-22,return,first,19
2019-04-23,return,first,17
2019-04-24,return,first,11
2019-04-25,return,first,29
2019-04-26,return,first,30
2019-04-27,return,first,22
2019-04-28,return,first,27
2019-04-29,return,first,18
2019-04-30,return,first,27
2019-05-01,return,first,20
2019-05-02,return,first,22
2019-05-03,return,first,33
2019-05-04,return,first,14
2019-05-05,return,first,25
2019-05-06,return,first,13
2019-05-07,return,first,23
2019-05-08,return,first,22
2019-05-09,return,first,29
2019-05-10,return,first,29
2019-05-11,return,first,24
2019-05-12,return,first,21
2019-05-13,return,first,14
2019-05-14,return,first,17
2019-05-15,return,first,27
2019-05-16,return,first,31
2019-05-17,return,first,27
2019-05-18,return,first,11
2019-05-19,return,first,28
2019-05-20,return,first,17
2019-05-21,return,first,27
2019-05-22,return,first,22
2019-05-23,return,first,24
2019-05-24,return,first,27
2019-05-25,return,first,19
2019-05-26,return,first,19
2019-05-27,return,first,22
2019-05-28,return,first,23
2019-05-29,return,first,18
2019-05-30,return,first,36
2019-05-31,return,first,27
2019-06-01,return,first,23
2019-06-02,return,first,15
2019-06-03,return,first,23
2019-06-04,return,first,25
2019-06-05,return,first,18
2019-06-06,return,first,43
2019-06-07,return,first,22
2019-06-08,return,first,18
2019-06-09,return,first,19
2019-06-10,return,first,22
2019-06-11,return,first,29
2019-06-12,return,first,23
2019-06-13,return,first,28
2019-06-14,return,first,30
2019-06-15,return,first,19
2019-06-16,return,first,17
2019-06-17,return,first,28
2019-06-18,return,first,29
2019-06-19,return,first,20
2019-06-20,return,first,30
2019-06-21,return,first,34
2019-06-22,return,first,14
2019-06-23,return,first,27
2019-06-24,return,first,26
2019-06-25,return,first,21
2019-06-26,return,first,30
2019-06-27,return,first,31
2019-06-28,return,first,35
2019-06-29,return,first,26
2019-06-30,return,first,23
2019-07-01,return,first,21
2019-07-02,return,first,26
2019-07-03,return,first,30
2019-07-04,return,first,40
2019-07-05,return,first,30
2019-07-06,return,first,20
2019-07-07,return,first,24
2019-07-08,return,first,21
2019-07-09,return,first,33
2019-07-10,return,first,26
2019-07-11,return,first,30
2019-07-12,return,first,19
2019-07-13,return,first,22
2019-07-14,return,first,19
2019-07-15,return,first,20
2019-07-16,return,first,41
2019-07-17,return,first,31
2019-07-18,return,first,38
2019-07-19,return,first,38
2019-07-20,return,first,22
2019-07-21,return,first,29
2019-07-22,return,first,27
2019-07-23,return,first,17
2019-07-24,return,first,29
2019-07-25,return,first,34
2019-07-26,return,first,38
2019-07-27,return,first,13
2019-07-28,return,first,27
2019-07-29,return,first,26
2019-07-30,return,first,22
2019-07-31,return,first,29
2019-08-01,return,first,28
2019-08-02,return,first,19
2019-08-03,return,first,20
2019-08-04,return,first,26
2019-08-05,return,first,20
2019-08-06,return,first,25
2019-08-07,return,first,22
2019-08-08,return,first,19
2019-08-09,return,first,33
2019-08-10,return,first,14
2019-08-11,return,first,16
2019-08-12,return,first,24
2019-08-13,return,first,25
2019-08-14,return,first,23
2019-08-15,return,first,26
2019-08-16,return,first,27
2019-08-17,return,first,14
2019-08-18,return,first,18
2019-08-19,return,first,24
2019-08-20,return,first,17
2019-08-21,return,first,29
2019-08-22,return,first,22
2019-08-23,return,first,19
2019-08-24,return,first,19
2019-08-25,return,first,22
2019-08-26,return,first,26
2019-08-27,return,first,23
2019-08-28,return,first,25
2019-08-29,return,first,36
2019-08-30,return,first,25
2019-08-31,return,first,20
2019-09-01,return,first,27
2019-09-02,return,first,22
2019-09-03,return,first,16
2019-09-04,return,first,16
2019-09-05,return,first,34
2019-09-06,return,first,25
2019-09-07,return,first,17
2019-09-08,return,first,25
2019-09-09,return,first,13
2019-09-10,return,first,25
2019-09-11,return,first,28
2019-09-12,return,first,24
2019-09-13,return,first,28
2019-09-14,return,first,22
2019-09-15,return,first,21
2019-09-16,return,first,23
2019-09-17,return,first,19
2019-09-18,return,first,16
2019-09-19,return,first,40
2019-09-20,return,first,28
2019-09-21,return,first,18
2019-09-22,return,first,20
2019-09-23,return,first,22
2019-09-24,return,first,28
2019-09-25,return,first,20
2019-09-26,return,first,20
2019-09-27,return,first,32
2019-09-28,return,first,15
2019-09-29,return,first,19
2019-09-30,return,first,15
2019-10-01,return,first,25
2019-10-02,return,first,12
2019-10-03,return,first,20
2019-10-04,return,first,22
2019-10-05,return,first,13
2019-10-06,return,first,14
2019-10-07,return,first,19
2019-10-08,return,first,21
2019-10-09,return,first,27
2019-10-10,return,first,22
2019-10-11,return,first,25
2019-10-12,return,first,12
2019-10-13,return,first,24
2019-10-14,return,first,26
2019-10-15,return,first,19
2019-10-16,return,first,23
2019-10-17,return,first,22
2019-10-18,return,first,25
2019-10-19,return,first,19
2019-10-20,return,first,21
2019-10-21,return,first,24
2019-10-22,return,first,17
2019-10-23,return,first,28
2019-10-24,return,first,24
2019-10-25,return,first,33
2019-10-26,return,first,18
2019-10-27,return,first,18
2019-10-28,return,first,8
2019-10-29,return,first,17
2019-10-30,return,first,19
2019-10-31,return,first,30
2019-11-01,return,first,26
2019-11-02,return,first,16
2019-11-03,return,first,25
2019-11-04,return,first,26
2019-11-05,return,first,21
2019-11-06,return,first,24
2019-11-07,return,first,25
2019-11-08,return,first,25
2019-11-09,return,first,16
2019-11-10,return,first,15
2019-11-11,return,first,24
2019-11-12,return,first,19
2019-11-13,return,first,21
2019-11-14,return,first,37
2019-11-15,return,first,31
2019-11-16,return,first,14
2019-11-17,return,first,19
2019-11-18,return,first,30
2019-11-19,return,first,26
2019-11-20,return,first,27
2019-11-21,return,first,22
2019-11-22,return,first,30
2019-11-23,return,first,21
2019-11-24,return,first,20
2019-11-25,return,first,16
2019-11-26,return,first,19
2019-11-27,return,first,33
2019-11-28,return,first,24
2019-11-29,return,first,27
2019-11-30,return,first,5
2019-12-01,return,first,13
2019-12-02,return,first,12
2019-12-03,return,first,14
2019-12-04,return,first,29
2019-12-05,return,first,12
2019-12-06,return,first,14
2019-12-07,return,first,14
2019-12-08,return,first,13
2019-12-09,return,first,18
2019-12-10,return,first,14
